loc_rowid,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_bmasse,pl_bmassj,pl_orbeccen,st_mass,st_logg,sy_dist
3,11 Com b,11 Com,2,1,Radial Velocity,2007,323.21,4914.89849,15.464,0.238,2.09,2.45,93.1846
6,11 UMi b,11 UMi,1,1,Radial Velocity,2009,516.22,3337.07,10.5,0.08,1.8,1.6,125.321
9,14 And b,14 And,1,1,Radial Velocity,2008,185.84,1525.5,4.8,0.0,2.2,2.63,75.4392
17,14 Her b,14 Her,1,2,Radial Velocity,2002,,1440.663,4.533,0.357,0.9,,17.9323
23,16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,798.5,565.7374,1.78,0.68,1.08,4.36,21.1397
24,17 Sco b,17 Sco,1,1,Radial Velocity,2020,578.38,1373.01872,4.32,0.06,1.22,1.7,124.953
27,18 Del b,18 Del,2,1,Radial Velocity,2008,,3127.3,9.84,,2.1,,76.222
31,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,,2543.0,8.0,,0.85,,139.135
33,24 Boo b,24 Boo,1,1,Radial Velocity,2018,30.3506,289.2253,0.91,0.042,0.99,2.42,95.9863
34,24 Sex b,24 Sex,1,2,Radial Velocity,2010,452.8,632.46,1.99,0.09,1.54,3.5,72.0691
35,24 Sex c,24 Sex,1,2,Radial Velocity,2010,883.0,273.32,0.86,0.29,1.54,3.5,72.0691
36,2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021,,1271.31363,4.0,,0.17,4.5,128.484
37,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,,4131.79,13.0,,0.19,,
39,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,,7786.5,24.5,,0.4,,33.8281
40,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,,4417.837,13.9,,0.11,4.59,
41,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,,2383.6,7.5,,0.02,,
43,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,,1271.0,4.0,,0.19,5.03,64.308
45,2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,416.0,603.877,1.9,,0.48,,396.332
46,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,,3972.875,12.5,,0.6,,69.5737
49,30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,335.10001,4392.4106,13.82,0.29,1.93,4.43,44.657
51,4 UMa b,4 UMa,1,1,Radial Velocity,2006,269.3,2256.5,7.1,0.432,1.23,1.8,73.4603
52,42 Dra b,42 Dra,2,1,Radial Velocity,2008,479.1,1233.13,3.88,0.38,0.98,1.71,90.6545
57,47 UMa b,47 UMa,1,3,Radial Velocity,1996,1076.6,774.86566,2.438,0.016,1.01,4.33,13.7967
60,47 UMa c,47 UMa,1,3,Radial Velocity,2001,2287.0,157.96072,0.497,0.179,1.01,4.33,13.7967
62,47 UMa d,47 UMa,1,3,Radial Velocity,2009,19000.0,479.92089,1.51,0.38,1.01,4.33,13.7967
65,51 Eri b,51 Eri,3,1,Imaging,2015,,635.66,2.0,,1.75,,29.7575
70,51 Peg b,51 Peg,1,1,Radial Velocity,1995,4.230785,150.009,0.472,0.013,1.03,4.31,15.4614
82,55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,14.653,266.9772,0.84,0.02,0.95,,12.5855
90,55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,44.38,52.44,0.165,0.07,0.9,4.42,12.5855
100,55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,4909.0,1121.89,3.53,0.02,0.9,4.42,12.5855
117,55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,0.7365445,9.37594,0.0295,0.036,0.97,4.46,12.5855
124,55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,261.2,54.664,0.172,0.32,0.9,4.42,12.5855
128,6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,934.3,638.8383,2.01,0.073,1.44,3.19,54.6599
130,61 Vir b,61 Vir,1,3,Radial Velocity,2009,4.215,5.1,0.016,0.12,0.94,4.34,8.50332
132,61 Vir c,61 Vir,1,3,Radial Velocity,2009,38.021,18.2,0.057,0.14,0.94,4.34,8.50332
133,61 Vir d,61 Vir,1,3,Radial Velocity,2009,123.01,22.9,0.072,0.35,0.94,4.34,8.50332
136,7 CMa b,7 CMa,1,2,Radial Velocity,2011,735.1,587.9855,1.85,0.06,1.34,3.19,19.8101
137,7 CMa c,7 CMa,1,2,Radial Velocity,2019,996.0,276.5121,0.87,0.08,1.34,3.19,19.8101
143,70 Vir b,70 Vir,1,1,Radial Velocity,1996,116.6926,2351.942,7.4,0.399,1.09,3.9,17.9011
145,75 Cet b,75 Cet,2,2,Radial Velocity,2012,696.62,787.89662,2.479,0.093,1.92,2.69,82.9613
146,75 Cet c,75 Cet,2,2,Radial Velocity,2023,2051.62,289.85951,0.912,0.023,1.92,2.69,82.9613
148,8 UMi b,8 UMi,1,1,Radial Velocity,2015,93.4,476.745,1.5,0.06,1.8,2.57,162.552
151,81 Cet b,81 Cet,1,1,Radial Velocity,2008,1005.57,1051.05854,3.307,0.037,1.23,2.41,101.26
152,91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,181.4,1017.0,3.2,0.027,1.4,2.52,44.0304
153,AB Aur b,AB Aur,1,1,Imaging,2022,,2860.45566,9.0,0.4,2.4,,162.127
